id_subsistema_terminalde;nom_subsistema_terminalde;id_subsistema_terminalpara;nom_subsistema_terminalpara;id_estado_terminalde;nom_estado_de;id_estado_terminalpara;nom_estado_para;nom_subestacao_de;nom_subestacao_para;val_niveltensao_kv;nom_tipoderede;nom_tipolinha;nom_agenteproprietario;nom_linhadetransmissao;dat_entradaoperacao;dat_desativacao;val_comprimento
NE;NORDESTE;NE;NORDESTE;AL;ALAGOAS;AL;ALAGOAS;ARAPIRACA III;PENEDO;230.0;BASICA;LINHA DE TRANSMISSÃO;CHESF;LT  230 kV ARAPIRACA III        / PENEDO               C S9 AL;2013-06-09;;89.4
NE;NORDESTE;NE;NORDESTE;AL;ALAGOAS;AL;ALAGOAS;ARAPIRACA III;RIO LARGO II;230.0;BASICA;LINHA DE TRANSMISSÃO;CHESF;LT  230 kV ARAPIRACA III        / RIO LARGO II         C F1 AL;2013-06-09;;124.4
NE;NORDESTE;NE;NORDESTE;AL;ALAGOAS;AL;ALAGOAS;MESSIAS;MACEIO;230.0;BASICA;LINHA DE TRANSMISSÃO;CHESF;LT  230 kV MESSIAS              / MACEIO               C S6 AL;2002-11-10;;26.5
NE;NORDESTE;NE;NORDESTE;AL;ALAGOAS;AL;ALAGOAS;MESSIAS;MACEIO;230.0;BASICA;LINHA DE TRANSMISSÃO;CHESF;LT  230 kV MESSIAS              / MACEIO               C S7 AL;2002-12-15;;26.5
NE;NORDESTE;NE;NORDESTE;AL;ALAGOAS;AL;ALAGOAS;MESSIAS;MACEIO II;230.0;BASICA;LINHA DE TRANSMISSÃO;CHESF;LT  230 kV MESSIAS              / MACEIO II            C M1 AL;2019-02-17;;19.71
NE;NORDESTE;NE;NORDESTE;AL;ALAGOAS;AL;ALAGOAS;MESSIAS;MACEIO II;230.0;BASICA;LINHA DE TRANSMISSÃO;CHESF;LT  230 kV MESSIAS              / MACEIO II            C M2 AL;2019-03-01;;19.71
NE;NORDESTE;NE;NORDESTE;AL;ALAGOAS;AL;ALAGOAS;MESSIAS;RIO LARGO II;230.0;BASICA;LINHA DE TRANSMISSÃO;CHESF;LT  230 kV MESSIAS              / RIO LARGO II         C S3 AL;2000-02-06;;11.9
NE;NORDESTE;NE;NORDESTE;AL;ALAGOAS;AL;ALAGOAS;MESSIAS;RIO LARGO II;230.0;BASICA;LINHA DE TRANSMISSÃO;CHESF;LT  230 kV MESSIAS              / RIO LARGO II         C S4 AL;1990-12-31;;11.9
NE;NORDESTE;NE;NORDESTE;AL;ALAGOAS;AL;ALAGOAS;MESSIAS;RIO LARGO II;230.0;BASICA;LINHA DE TRANSMISSÃO;CHESF;LT  230 kV MESSIAS              / RIO LARGO II         C S5 AL;1990-12-31;;11.6
NE;NORDESTE;NE;NORDESTE;AL;ALAGOAS;AL;ALAGOAS;RIO LARGO II;PENEDO;230.0;BASICA;LINHA DE TRANSMISSÃO;CHESF;LT  230 kV RIO LARGO II         / PENEDO               C S9 AL;1990-12-31;2013-06-09;122.7
