,k,train_split,embedding_d,regular_precision,regular_recall,regular_f1-score,regular_support,critical_precision,critical_recall,critical_f1-score,critical_support,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support,accuracy
0,1,0.1,128,1.0,0.1,0.18181818181818182,10.0,0.18181818181818182,1.0,0.3076923076923077,2.0,0.5909090909090909,0.55,0.24475524475524477,12.0,0.8636363636363636,0.25,0.2027972027972028,12.0,0.25
1,1,0.1,128,1.0,0.1,0.18181818181818182,10.0,0.18181818181818182,1.0,0.3076923076923077,2.0,0.5909090909090909,0.55,0.24475524475524477,12.0,0.8636363636363636,0.25,0.2027972027972028,12.0,0.25
2,1,0.1,128,1.0,0.1,0.18181818181818182,10.0,0.18181818181818182,1.0,0.3076923076923077,2.0,0.5909090909090909,0.55,0.24475524475524477,12.0,0.8636363636363636,0.25,0.2027972027972028,12.0,0.25
3,1,0.1,128,1.0,0.2,0.33333333333333337,10.0,0.2,1.0,0.33333333333333337,2.0,0.6,0.6,0.33333333333333337,12.0,0.8666666666666667,0.3333333333333333,0.3333333333333334,12.0,0.3333333333333333
4,1,0.1,128,0.0,0.0,0.0,10.0,0.09090909090909091,0.5,0.15384615384615385,2.0,0.045454545454545456,0.25,0.07692307692307693,12.0,0.015151515151515152,0.08333333333333333,0.025641025641025644,12.0,0.08333333333333333
5,1,0.1,128,0.8,0.4,0.5333333333333333,10.0,0.14285714285714285,0.5,0.22222222222222224,2.0,0.4714285714285714,0.45,0.37777777777777777,12.0,0.6904761904761906,0.4166666666666667,0.48148148148148145,12.0,0.4166666666666667
6,1,0.1,128,1.0,0.2,0.33333333333333337,10.0,0.2,1.0,0.33333333333333337,2.0,0.6,0.6,0.33333333333333337,12.0,0.8666666666666667,0.3333333333333333,0.3333333333333334,12.0,0.3333333333333333
7,1,0.1,128,1.0,0.2,0.33333333333333337,10.0,0.2,1.0,0.33333333333333337,2.0,0.6,0.6,0.33333333333333337,12.0,0.8666666666666667,0.3333333333333333,0.3333333333333334,12.0,0.3333333333333333
8,1,0.1,128,1.0,0.1,0.18181818181818182,10.0,0.18181818181818182,1.0,0.3076923076923077,2.0,0.5909090909090909,0.55,0.24475524475524477,12.0,0.8636363636363636,0.25,0.2027972027972028,12.0,0.25
9,1,0.1,128,1.0,0.3,0.4615384615384615,10.0,0.2222222222222222,1.0,0.3636363636363636,2.0,0.6111111111111112,0.65,0.41258741258741255,12.0,0.8703703703703703,0.4166666666666667,0.4452214452214452,12.0,0.4166666666666667
10,1,0.1,128,0.5,0.1,0.16666666666666669,10.0,0.1,0.5,0.16666666666666669,2.0,0.3,0.3,0.16666666666666669,12.0,0.43333333333333335,0.16666666666666666,0.1666666666666667,12.0,0.16666666666666666
11,1,0.1,128,1.0,0.3,0.4615384615384615,10.0,0.2222222222222222,1.0,0.3636363636363636,2.0,0.6111111111111112,0.65,0.41258741258741255,12.0,0.8703703703703703,0.4166666666666667,0.4452214452214452,12.0,0.4166666666666667
12,1,0.1,128,1.0,0.3,0.4615384615384615,10.0,0.2222222222222222,1.0,0.3636363636363636,2.0,0.6111111111111112,0.65,0.41258741258741255,12.0,0.8703703703703703,0.4166666666666667,0.4452214452214452,12.0,0.4166666666666667
13,1,0.1,128,1.0,0.4,0.5714285714285715,10.0,0.25,1.0,0.4,2.0,0.625,0.7,0.48571428571428577,12.0,0.875,0.5,0.5428571428571429,12.0,0.5
14,1,0.1,128,0.8,0.4,0.5333333333333333,10.0,0.14285714285714285,0.5,0.22222222222222224,2.0,0.4714285714285714,0.45,0.37777777777777777,12.0,0.6904761904761906,0.4166666666666667,0.48148148148148145,12.0,0.4166666666666667
15,1,0.1,128,1.0,0.4,0.5714285714285715,10.0,0.25,1.0,0.4,2.0,0.625,0.7,0.48571428571428577,12.0,0.875,0.5,0.5428571428571429,12.0,0.5
16,1,0.1,128,1.0,0.5,0.6666666666666666,10.0,0.2857142857142857,1.0,0.4444444444444445,2.0,0.6428571428571428,0.75,0.5555555555555556,12.0,0.8809523809523809,0.5833333333333334,0.6296296296296297,12.0,0.5833333333333334
17,1,0.1,128,0.6666666666666666,0.2,0.30769230769230765,10.0,0.1111111111111111,0.5,0.1818181818181818,2.0,0.38888888888888884,0.35,0.24475524475524474,12.0,0.5740740740740741,0.25,0.2867132867132867,12.0,0.25
18,1,0.1,128,0.6,0.3,0.4,10.0,0.0,0.0,0.0,2.0,0.3,0.15,0.2,12.0,0.5,0.25,0.3333333333333333,12.0,0.25
19,1,0.1,128,1.0,0.6,0.7499999999999999,10.0,0.3333333333333333,1.0,0.5,2.0,0.6666666666666666,0.8,0.625,12.0,0.8888888888888888,0.6666666666666666,0.7083333333333334,12.0,0.6666666666666666
20,1,0.1,128,0.0,0.0,0.0,10.0,0.16666666666666666,1.0,0.2857142857142857,2.0,0.08333333333333333,0.5,0.14285714285714285,12.0,0.027777777777777776,0.16666666666666666,0.047619047619047616,12.0,0.16666666666666666
21,1,0.1,128,0.8333333333333334,0.5,0.625,10.0,0.16666666666666666,0.5,0.25,2.0,0.5,0.5,0.4375,12.0,0.7222222222222223,0.5,0.5625,12.0,0.5
22,1,0.1,128,1.0,0.4,0.5714285714285715,10.0,0.25,1.0,0.4,2.0,0.625,0.7,0.48571428571428577,12.0,0.875,0.5,0.5428571428571429,12.0,0.5
23,1,0.1,128,0.0,0.0,0.0,10.0,0.09090909090909091,0.5,0.15384615384615385,2.0,0.045454545454545456,0.25,0.07692307692307693,12.0,0.015151515151515152,0.08333333333333333,0.025641025641025644,12.0,0.08333333333333333
24,1,0.1,128,1.0,0.2,0.33333333333333337,10.0,0.2,1.0,0.33333333333333337,2.0,0.6,0.6,0.33333333333333337,12.0,0.8666666666666667,0.3333333333333333,0.3333333333333334,12.0,0.3333333333333333
25,1,0.1,128,1.0,0.3,0.4615384615384615,10.0,0.2222222222222222,1.0,0.3636363636363636,2.0,0.6111111111111112,0.65,0.41258741258741255,12.0,0.8703703703703703,0.4166666666666667,0.4452214452214452,12.0,0.4166666666666667
26,1,0.1,128,1.0,0.1,0.18181818181818182,10.0,0.18181818181818182,1.0,0.3076923076923077,2.0,0.5909090909090909,0.55,0.24475524475524477,12.0,0.8636363636363636,0.25,0.2027972027972028,12.0,0.25
