,embedding_d,channels,train_split,mse,mae,r2,k
0,32,32,0.1,0.71693385,0.7065298,-0.6617657697173605,1
1,32,32,0.1,0.97156,0.84841084,-1.4013883048749887,1
2,32,32,0.1,0.55530477,0.61541414,-0.17806090973468547,1
3,32,32,0.1,0.60923445,0.674292,-0.31711655891015367,1
4,32,32,0.1,0.568175,0.5818322,-0.15621066515171256,1
5,32,32,0.1,0.86826134,0.7783822,-1.1264362148565388,1
6,32,32,0.1,0.68002087,0.6400944,-0.46537567642012845,1
7,32,32,0.1,1.061587,0.8976128,-1.3698995882123488,1
8,32,32,0.1,0.5727714,0.6846452,-0.39960894497220867,1
9,32,32,0.1,0.73939973,0.6908198,-0.6770926193765783,1
10,32,32,0.1,0.7245155,0.65414244,-0.5907084704215473,1
11,32,32,0.1,0.6553976,0.67586476,-0.4658168380607772,1
12,32,32,0.1,0.66320574,0.61946577,-0.413049948739584,1
13,32,32,0.1,0.574367,0.5803287,-0.17240672740475071,1
14,32,32,0.1,0.8455153,0.7982714,-1.0911195250151802,1
15,32,32,0.1,0.91921914,0.83874357,-1.0923133480587968,1
16,32,32,0.1,0.5493865,0.55170614,-0.2960581827817643,1
17,32,32,0.1,0.5300403,0.5944189,-0.2039975387345747,1
18,32,32,0.1,0.5241725,0.56695175,-0.14356467846743914,1
19,32,32,0.1,0.50842816,0.6065891,-0.11351094803940631,1
20,32,32,0.1,0.51373374,0.6262754,-0.13032547848378173,1
21,32,32,0.1,0.8968482,0.8144566,-0.9427656529488257,1
22,32,32,0.1,0.6304648,0.6313553,-0.3406764922805474,1
23,32,32,0.1,0.60369706,0.6806718,-0.3079080210929328,1
24,32,32,0.1,0.57957995,0.58266765,-0.2893888090028891,1
25,32,32,0.1,0.64572287,0.670383,-0.3739378896110863,1
26,32,32,0.1,0.7517076,0.7209913,-0.6572241030689814,1
27,32,32,0.1,0.74723893,0.7126959,-0.7784773192636241,1
28,32,32,0.1,0.6219191,0.6906276,-0.4452695882872957,1
29,32,32,0.1,0.8346085,0.8314582,-1.1015472211314528,1
30,32,32,0.1,0.49300003,0.5999813,-0.04806076547332916,1
31,32,32,0.1,0.9439054,0.7425288,-1.0845862922950529,1
32,32,32,0.1,0.5464427,0.624305,-0.1619346966001658,1
33,32,32,0.1,0.6670932,0.6166065,-0.4570977784263608,1
34,32,32,0.1,0.8586118,0.7363617,-0.9277526837990493,1
35,32,32,0.1,0.64490473,0.6783844,-0.40758318996509146,1
36,32,32,0.1,0.73464155,0.70603,-0.7167533614162815,1
37,32,32,0.1,0.7973422,0.7841052,-0.7598347650752577,1
38,32,32,0.1,0.6268551,0.60832167,-0.32554937481377144,1
39,32,32,0.1,0.8138052,0.8153054,-1.0663713893020663,1
40,32,32,0.1,0.56010294,0.6242216,-0.32169982271453024,1
41,32,32,0.1,0.9268504,0.7756776,-1.1499668168604127,1
42,32,32,0.1,0.6294477,0.678157,-0.5293741326263159,1
43,32,32,0.1,0.46613878,0.5075698,-0.030615385236482107,1
44,32,32,0.1,0.64078397,0.61783457,-0.33405733777253643,1
45,32,32,0.1,0.710753,0.6823085,-0.5506190065449748,1
46,32,32,0.1,0.95278025,0.87101966,-1.3554577972968014,1
47,32,32,0.1,0.66964966,0.75736165,-0.5521474662075287,1
48,32,32,0.1,0.7088264,0.7554077,-0.6930015268843526,1
49,32,32,0.1,0.6128234,0.7204814,-0.39736593234639894,1
50,32,32,0.2,0.5774824,0.614639,-0.15559196716558032,1
51,32,32,0.2,0.5073167,0.5167193,-0.38534285530788237,1
52,32,32,0.2,0.93774885,0.83315986,-1.1999670353922807,1
53,32,32,0.2,0.4946799,0.5872968,-0.07422321225836148,1
54,32,32,0.2,0.85119027,0.854596,-1.1004187801456924,1
55,32,32,0.2,0.6643151,0.6404565,-0.37951158205525237,1
56,32,32,0.2,0.5469008,0.56351346,-0.17047995244485925,1
57,32,32,0.2,0.7246131,0.72138417,-0.7808594489408114,1
58,32,32,0.2,0.9892139,0.7907384,-1.579057404698485,1
59,32,32,0.2,0.8291594,0.7408821,-0.7797159932826494,1
60,32,32,0.2,0.9417106,0.8359701,-1.0366569290693595,1
61,32,32,0.2,0.5213293,0.6564965,-0.26397732925348905,1
62,32,32,0.2,0.5682048,0.62869745,-0.12961532868666858,1
63,32,32,0.2,0.5342181,0.5404476,-0.17443887797743485,1
64,32,32,0.2,0.7759617,0.65493494,-0.9166844474990083,1
65,32,32,0.2,0.5006991,0.54865116,-0.16761337613860317,1
66,32,32,0.2,0.6544439,0.6620316,-0.5494729166434551,1
67,32,32,0.2,0.5952326,0.5971522,-0.22639603465068459,1
68,32,32,0.2,0.76529974,0.704763,-0.5769228984259069,1
69,32,32,0.2,0.5739673,0.6228213,-0.04265182014631397,1
70,32,32,0.2,0.5061926,0.6432301,-0.062410212810444454,1
71,32,32,0.2,0.8168863,0.79587954,-0.7258084847822099,1
72,32,32,0.2,0.62760466,0.7301345,-0.44285397742381494,1
73,32,32,0.2,0.9011563,0.7759293,-1.0226174292138772,1
74,32,32,0.2,0.46744862,0.52981746,-0.12395527253533545,1
75,32,32,0.2,0.56450313,0.6158231,-0.32077774640689594,1
76,32,32,0.2,1.0221124,0.8296694,-1.433320886275018,1
77,32,32,0.2,0.6567586,0.62122667,-0.460819313891518,1
78,32,32,0.2,0.54855335,0.6098927,-0.06043704211254597,1
