,embedding_d,channels,train_split,mse,mae,r2,k
0,32,32,0.1,0.24682976,0.36924094,-0.05843239283348001,1
1,32,32,0.1,0.32859242,0.46803677,-0.4350148581277986,1
2,32,32,0.1,0.25381514,0.38474655,-0.08633114902969585,1
3,32,32,0.1,0.24285518,0.35702392,-0.03509817291097872,1
4,32,32,0.1,0.23902299,0.35722753,-0.020510290398740638,1
5,32,32,0.1,0.2712655,0.40015662,-0.1610189533750963,1
6,32,32,0.1,0.23838179,0.35031205,-0.016686582760215618,1
7,32,32,0.1,0.25293237,0.37890074,-0.0821470773185069,1
8,32,32,0.1,0.3634998,0.48447558,-0.6045266674734169,1
9,32,32,0.1,0.23558423,0.35143793,-0.004107896419298429,1
10,32,32,0.1,0.32593316,0.44868243,-0.43870362864968526,1
11,32,32,0.1,0.640555,0.6705522,-2.158676927640462,1
12,32,32,0.1,0.34011665,0.46140358,-0.5013109918488523,1
13,32,32,0.1,0.35107708,0.4781429,-0.5496914887804036,1
14,32,32,0.1,1.925545,1.3564757,-19.26955165913079,1
15,32,32,0.1,0.24207684,0.35643774,-0.032445808498079654,1
16,32,32,0.1,0.80585325,0.77311736,-3.156425159463211,1
17,32,32,0.1,0.6039997,0.64336497,-1.7365379538820132,1
18,32,32,0.1,0.7239462,0.7107465,-2.733965866420242,1
19,32,32,0.1,0.24706085,0.36295694,-0.057026450836177744,1
20,32,32,0.1,0.2939237,0.41485098,-0.2760386787877218,1
21,32,32,0.1,0.34793442,0.473292,-0.5358195251834392,1
22,32,32,0.1,1.9982378,1.3793576,-20.034766367139127,1
23,32,32,0.1,0.7561861,0.7446614,-2.900252170552116,1
24,32,32,0.1,0.23275797,0.35076907,0.006238263044978765,1
25,32,32,0.1,0.5643362,0.62044024,-1.7828297258180292,1
26,32,32,0.1,0.5630418,0.6215192,-1.550970466702759,1
27,32,32,0.1,0.3161724,0.45251736,-0.38077472232692555,1
28,32,32,0.1,0.2404817,0.3595139,-0.03121127244385624,1
29,32,32,0.1,0.635028,0.66832626,-1.8771182605861187,1
30,32,32,0.1,0.2663231,0.39834657,-0.1562135102821467,1
31,32,32,0.1,0.94191784,0.8398,-3.8582186419140543,1
32,32,32,0.1,0.23627017,0.35140508,-0.007680656684726284,1
33,32,32,0.1,0.6100926,0.6497908,-2.0084617238279767,1
34,32,32,0.1,0.6646398,0.67121685,-2.011279649442173,1
35,32,32,0.1,0.2762016,0.39160883,-0.18170230823045874,1
36,32,32,0.1,0.29384044,0.42001688,-0.27567709651794026,1
37,32,32,0.1,0.34691173,0.4654916,-0.5313052038290016,1
38,32,32,0.1,0.2248546,0.3417304,0.041623923059967205,1
39,32,32,0.1,0.2641209,0.38197532,-0.13001625356775715,1
40,32,32,0.1,0.23191485,0.34727794,0.011531699944841933,1
41,32,32,0.1,0.23714484,0.34798425,-0.011411169778473562,1
