,eval,k,train_split,quantile,auc
0,1,1,0.1,0.05,0.9375
1,2,1,0.1,0.05,0.9375
2,3,1,0.1,0.05,0.9375
3,4,1,0.1,0.05,0.9375
4,5,1,0.1,0.05,0.9375
5,1,1,0.1,0.1,0.8444444444444443
6,2,1,0.1,0.1,0.8555555555555555
7,3,1,0.1,0.1,0.8777777777777778
8,4,1,0.1,0.1,0.8777777777777778
9,5,1,0.1,0.1,0.8666666666666667
10,1,1,0.1,0.25,0.51
11,2,1,0.1,0.25,0.46499999999999997
12,3,1,0.1,0.25,0.485
13,4,1,0.1,0.25,0.52
14,5,1,0.1,0.25,0.47
15,1,2,0.1,0.05,0.75
16,2,2,0.1,0.05,0.8125
17,3,2,0.1,0.05,0.75
18,4,2,0.1,0.05,0.78125
19,5,2,0.1,0.05,0.75
20,1,2,0.1,0.1,0.45555555555555555
21,2,2,0.1,0.1,0.4444444444444444
22,3,2,0.1,0.1,0.4444444444444444
23,4,2,0.1,0.1,0.4555555555555555
24,5,2,0.1,0.1,0.4666666666666666
25,1,2,0.1,0.25,0.6799999999999999
26,2,2,0.1,0.25,0.665
27,3,2,0.1,0.25,0.6499999999999999
28,4,2,0.1,0.25,0.665
29,5,2,0.1,0.25,0.6849999999999999
30,1,3,0.1,0.05,0.9375
31,2,3,0.1,0.05,0.90625
32,3,3,0.1,0.05,0.9375
33,4,3,0.1,0.05,0.9375
34,5,3,0.1,0.05,0.9375
35,1,3,0.1,0.1,0.6333333333333333
36,2,3,0.1,0.1,0.6444444444444445
37,3,3,0.1,0.1,0.6222222222222222
38,4,3,0.1,0.1,0.6222222222222221
39,5,3,0.1,0.1,0.6111111111111112
40,1,3,0.1,0.25,0.7000000000000001
41,2,3,0.1,0.25,0.7100000000000001
42,3,3,0.1,0.25,0.7000000000000001
43,4,3,0.1,0.25,0.705
44,5,3,0.1,0.25,0.71
45,1,4,0.1,0.05,0.9375
46,2,4,0.1,0.05,0.90625
47,3,4,0.1,0.05,0.9375
48,4,4,0.1,0.05,0.9375
49,5,4,0.1,0.05,0.90625
50,1,4,0.1,0.1,0.34444444444444444
51,2,4,0.1,0.1,0.3333333333333333
52,3,4,0.1,0.1,0.34444444444444444
53,4,4,0.1,0.1,0.37777777777777777
54,5,4,0.1,0.1,0.3
55,1,4,0.1,0.25,0.685
56,2,4,0.1,0.25,0.7
57,3,4,0.1,0.25,0.665
58,4,4,0.1,0.25,0.735
59,5,4,0.1,0.25,0.7150000000000001
