,eval,k,train_split,quantile,regular_precision,regular_recall,regular_f1-score,regular_support,critical_precision,critical_recall,critical_f1-score,critical_support,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support,accuracy
0,1,1,0.1,0.05,1.0,0.46875,0.6382978723404256,32,0.05555555555555555,1.0,0.10526315789473684,1,0.5277777777777778,0.734375,0.3717805151175812,33,0.9713804713804715,0.48484848484848486,0.6221453052360107,33,0.48484848484848486
1,2,1,0.1,0.05,1.0,0.46875,0.6382978723404256,32,0.05555555555555555,1.0,0.10526315789473684,1,0.5277777777777778,0.734375,0.3717805151175812,33,0.9713804713804715,0.48484848484848486,0.6221453052360107,33,0.48484848484848486
2,3,1,0.1,0.05,1.0,0.40625,0.5777777777777777,32,0.05,1.0,0.09523809523809523,1,0.525,0.703125,0.3365079365079365,33,0.9712121212121211,0.42424242424242425,0.5631553631553631,33,0.42424242424242425
3,4,1,0.1,0.05,1.0,0.40625,0.5777777777777777,32,0.05,1.0,0.09523809523809523,1,0.525,0.703125,0.3365079365079365,33,0.9712121212121211,0.42424242424242425,0.5631553631553631,33,0.42424242424242425
4,5,1,0.1,0.05,1.0,0.40625,0.5777777777777777,32,0.05,1.0,0.09523809523809523,1,0.525,0.703125,0.3365079365079365,33,0.9712121212121211,0.42424242424242425,0.5631553631553631,33,0.42424242424242425
5,1,1,0.1,0.1,1.0,0.6,0.7499999999999999,30,0.2,1.0,0.33333333333333337,3,0.6,0.8,0.5416666666666666,33,0.9272727272727274,0.6363636363636364,0.712121212121212,33,0.6363636363636364
6,2,1,0.1,0.1,1.0,0.3333333333333333,0.5,30,0.13043478260869565,1.0,0.23076923076923078,3,0.5652173913043478,0.6666666666666666,0.3653846153846154,33,0.9209486166007905,0.3939393939393939,0.4755244755244755,33,0.3939393939393939
7,3,1,0.1,0.1,1.0,0.26666666666666666,0.4210526315789474,30,0.12,1.0,0.21428571428571425,3,0.56,0.6333333333333333,0.3176691729323308,33,0.9199999999999999,0.3333333333333333,0.40225563909774437,33,0.3333333333333333
8,4,1,0.1,0.1,1.0,0.4,0.5714285714285715,30,0.14285714285714285,1.0,0.25,3,0.5714285714285714,0.7,0.41071428571428575,33,0.922077922077922,0.45454545454545453,0.5422077922077922,33,0.45454545454545453
9,5,1,0.1,0.1,1.0,0.43333333333333335,0.6046511627906976,30,0.15,1.0,0.2608695652173913,3,0.575,0.7166666666666667,0.4327603640040445,33,0.9227272727272727,0.48484848484848486,0.5733982902840336,33,0.48484848484848486
10,1,1,0.1,0.25,0.7,0.56,0.6222222222222222,25,0.15384615384615385,0.25,0.1904761904761905,8,0.4269230769230769,0.405,0.40634920634920635,33,0.5675990675990675,0.48484848484848486,0.5175565175565175,33,0.48484848484848486
11,2,1,0.1,0.25,0.7,0.56,0.6222222222222222,25,0.15384615384615385,0.25,0.1904761904761905,8,0.4269230769230769,0.405,0.40634920634920635,33,0.5675990675990675,0.48484848484848486,0.5175565175565175,33,0.48484848484848486
12,3,1,0.1,0.25,0.75,0.36,0.48648648648648657,25,0.23809523809523808,0.625,0.3448275862068965,8,0.49404761904761907,0.4925,0.41565703634669154,33,0.625901875901876,0.42424242424242425,0.4521449349035557,33,0.42424242424242425
13,4,1,0.1,0.25,0.8333333333333334,0.4,0.5405405405405406,25,0.2857142857142857,0.75,0.4137931034482759,8,0.5595238095238095,0.575,0.47716682199440824,33,0.7005772005772006,0.48484848484848486,0.509813889124234,33,0.48484848484848486
