,fpr,tpr,threshold,eval,k,train_split,quantile
0,0.0,0.0,1.998616,1,1,0.1,0.05
1,0.03125,0.0,0.998616,1,1,0.1,0.05
2,0.0625,0.0,0.9971886,1,1,0.1,0.05
3,0.0625,1.0,0.9777866,1,1,0.1,0.05
4,1.0,1.0,0.0025613436,1,1,0.1,0.05
5,0.0,0.0,1.9990164,2,1,0.1,0.05
6,0.03125,0.0,0.9990164,2,1,0.1,0.05
7,0.0625,0.0,0.9980574,2,1,0.1,0.05
8,0.0625,1.0,0.9857977,2,1,0.1,0.05
9,1.0,1.0,0.0017827799,2,1,0.1,0.05
10,0.0,0.0,1.9985936,3,1,0.1,0.05
11,0.03125,0.0,0.9985935,3,1,0.1,0.05
12,0.0625,0.0,0.99800116,3,1,0.1,0.05
13,0.0625,1.0,0.9829419,3,1,0.1,0.05
14,1.0,1.0,0.0022793545,3,1,0.1,0.05
15,0.0,0.0,1.9991556,4,1,0.1,0.05
16,0.03125,0.0,0.99915564,4,1,0.1,0.05
17,0.0625,0.0,0.99869233,4,1,0.1,0.05
18,0.0625,1.0,0.9913004,4,1,0.1,0.05
19,1.0,1.0,0.0018717911,4,1,0.1,0.05
20,0.0,0.0,1.9984832,5,1,0.1,0.05
21,0.03125,0.0,0.99848324,5,1,0.1,0.05
22,0.0625,0.0,0.996824,5,1,0.1,0.05
23,0.0625,1.0,0.9888418,5,1,0.1,0.05
24,1.0,1.0,0.0018145837,5,1,0.1,0.05
25,0.0,0.0,1.9993544,1,1,0.1,0.1
26,0.03333333333333333,0.0,0.9993543,1,1,0.1,0.1
27,0.03333333333333333,0.3333333333333333,0.99893516,1,1,0.1,0.1
28,0.06666666666666667,0.3333333333333333,0.97041804,1,1,0.1,0.1
29,0.06666666666666667,0.6666666666666666,0.96815944,1,1,0.1,0.1
30,0.36666666666666664,0.6666666666666666,0.6153512,1,1,0.1,0.1
31,0.36666666666666664,1.0,0.602242,1,1,0.1,0.1
32,1.0,1.0,0.0012789516,1,1,0.1,0.1
33,0.0,0.0,1.9979851,2,1,0.1,0.1
34,0.03333333333333333,0.0,0.9979851,2,1,0.1,0.1
35,0.03333333333333333,0.6666666666666666,0.95551366,2,1,0.1,0.1
36,0.36666666666666664,0.6666666666666666,0.7768389,2,1,0.1,0.1
37,0.36666666666666664,1.0,0.7572133,2,1,0.1,0.1
38,1.0,1.0,0.0044852896,2,1,0.1,0.1
39,0.0,0.0,1.9997764,3,1,0.1,0.1
40,0.03333333333333333,0.0,0.9997763,3,1,0.1,0.1
41,0.03333333333333333,0.6666666666666666,0.99092746,3,1,0.1,0.1
42,0.3,0.6666666666666666,0.9337712,3,1,0.1,0.1
43,0.3,1.0,0.8899865,3,1,0.1,0.1
44,1.0,1.0,0.0012647284,3,1,0.1,0.1
45,0.0,0.0,1.9995575,4,1,0.1,0.1
46,0.03333333333333333,0.0,0.99955755,4,1,0.1,0.1
47,0.03333333333333333,0.6666666666666666,0.9872415,4,1,0.1,0.1
48,0.3,0.6666666666666666,0.87037283,4,1,0.1,0.1
49,0.3,1.0,0.84555745,4,1,0.1,0.1
50,1.0,1.0,0.0019599586,4,1,0.1,0.1
51,0.0,0.0,1.9995239,5,1,0.1,0.1
52,0.03333333333333333,0.0,0.9995239,5,1,0.1,0.1
53,0.03333333333333333,0.6666666666666666,0.97365755,5,1,0.1,0.1
54,0.3333333333333333,0.6666666666666666,0.7951115,5,1,0.1,0.1
55,0.3333333333333333,1.0,0.7767863,5,1,0.1,0.1
56,1.0,1.0,0.0021268912,5,1,0.1,0.1
57,0.0,0.0,1.9979203,1,1,0.1,0.25
58,0.04,0.0,0.9979202,1,1,0.1,0.25
59,0.08,0.0,0.9968406,1,1,0.1,0.25
60,0.08,0.125,0.9964281,1,1,0.1,0.25
61,0.16,0.125,0.94101155,1,1,0.1,0.25
62,0.16,0.25,0.93204737,1,1,0.1,0.25
63,0.44,0.25,0.5239554,1,1,0.1,0.25
64,0.44,0.375,0.48996368,1,1,0.1,0.25
65,0.52,0.375,0.4791099,1,1,0.1,0.25
66,0.52,0.5,0.45642716,1,1,0.1,0.25
67,0.56,0.5,0.44057697,1,1,0.1,0.25
68,0.56,0.625,0.43803263,1,1,0.1,0.25
69,0.6,0.625,0.43241948,1,1,0.1,0.25
70,0.6,0.75,0.40048772,1,1,0.1,0.25
71,0.68,0.75,0.3809093,1,1,0.1,0.25
72,0.68,0.875,0.36260554,1,1,0.1,0.25
73,0.88,0.875,0.050410442,1,1,0.1,0.25
74,0.88,1.0,0.037298754,1,1,0.1,0.25
75,1.0,1.0,0.0008171724,1,1,0.1,0.25
76,0.0,0.0,1.9983985,2,1,0.1,0.25
77,0.04,0.0,0.9983986,2,1,0.1,0.25
78,0.04,0.125,0.9980895,2,1,0.1,0.25
79,0.16,0.125,0.9390467,2,1,0.1,0.25
80,0.16,0.25,0.92096317,2,1,0.1,0.25
81,0.48,0.25,0.49612013,2,1,0.1,0.25
82,0.48,0.375,0.46185076,2,1,0.1,0.25
83,0.6,0.375,0.37022173,2,1,0.1,0.25
84,0.6,0.5,0.3515835,2,1,0.1,0.25
85,0.68,0.5,0.3297384,2,1,0.1,0.25
86,0.68,0.75,0.28938544,2,1,0.1,0.25
87,0.76,0.75,0.26375234,2,1,0.1,0.25
88,0.76,0.875,0.2320016,2,1,0.1,0.25
89,0.88,0.875,0.061648466,2,1,0.1,0.25
90,0.88,1.0,0.019491343,2,1,0.1,0.25
91,1.0,1.0,0.0004233846,2,1,0.1,0.25
92,0.0,0.0,1.998776,3,1,0.1,0.25
93,0.04,0.0,0.998776,3,1,0.1,0.25
94,0.04,0.125,0.9982255,3,1,0.1,0.25
95,0.16,0.125,0.9534716,3,1,0.1,0.25
96,0.16,0.25,0.9264539,3,1,0.1,0.25
97,0.32,0.25,0.7143563,3,1,0.1,0.25
98,0.32,0.375,0.7028043,3,1,0.1,0.25
99,0.6,0.375,0.56506395,3,1,0.1,0.25
100,0.6,0.5,0.5577188,3,1,0.1,0.25
101,0.64,0.5,0.5387216,3,1,0.1,0.25
102,0.64,0.625,0.5041007,3,1,0.1,0.25
103,0.68,0.625,0.47685364,3,1,0.1,0.25
104,0.68,0.75,0.44860962,3,1,0.1,0.25
105,0.8,0.75,0.37433285,3,1,0.1,0.25
106,0.8,0.875,0.3120784,3,1,0.1,0.25
107,0.88,0.875,0.060662445,3,1,0.1,0.25
108,0.88,1.0,0.030399874,3,1,0.1,0.25
109,1.0,1.0,0.0006202358,3,1,0.1,0.25
110,0.0,0.0,1.9980936,4,1,0.1,0.25
111,0.04,0.0,0.99809366,4,1,0.1,0.25
112,0.04,0.125,0.99797326,4,1,0.1,0.25
113,0.16,0.125,0.94102854,4,1,0.1,0.25
114,0.16,0.25,0.913882,4,1,0.1,0.25
115,0.28,0.25,0.68513334,4,1,0.1,0.25
116,0.28,0.375,0.6370394,4,1,0.1,0.25
117,0.52,0.375,0.55483043,4,1,0.1,0.25
118,0.52,0.625,0.54177177,4,1,0.1,0.25
119,0.6,0.625,0.5042355,4,1,0.1,0.25
120,0.6,0.75,0.5013399,4,1,0.1,0.25
121,0.84,0.75,0.31787276,4,1,0.1,0.25
122,0.84,0.875,0.3048602,4,1,0.1,0.25
123,0.88,0.875,0.08476263,4,1,0.1,0.25
124,0.88,1.0,0.02736227,4,1,0.1,0.25
125,1.0,1.0,0.00073033944,4,1,0.1,0.25
126,0.0,0.0,1.9974215,5,1,0.1,0.25
127,0.04,0.0,0.9974215,5,1,0.1,0.25
128,0.04,0.125,0.99665594,5,1,0.1,0.25
129,0.16,0.125,0.9244679,5,1,0.1,0.25
130,0.16,0.25,0.88573253,5,1,0.1,0.25
131,0.36,0.25,0.59577733,5,1,0.1,0.25
132,0.36,0.375,0.59383845,5,1,0.1,0.25
133,0.56,0.375,0.53775483,5,1,0.1,0.25
134,0.56,0.5,0.48692364,5,1,0.1,0.25
135,0.68,0.5,0.4511452,5,1,0.1,0.25
136,0.68,0.625,0.40661576,5,1,0.1,0.25
137,0.76,0.625,0.35076374,5,1,0.1,0.25
138,0.76,0.75,0.34809637,5,1,0.1,0.25
139,0.8,0.75,0.33726773,5,1,0.1,0.25
140,0.8,0.875,0.2479832,5,1,0.1,0.25
141,0.88,0.875,0.083989896,5,1,0.1,0.25
142,0.88,1.0,0.027052362,5,1,0.1,0.25
143,1.0,1.0,0.0009548877,5,1,0.1,0.25
144,0.0,0.0,1.9995809,1,2,0.1,0.05
145,0.03125,0.0,0.9995809,1,2,0.1,0.05
146,0.25,0.0,0.9786483,1,2,0.1,0.05
147,0.25,1.0,0.9727782,1,2,0.1,0.05
148,1.0,1.0,0.00050089153,1,2,0.1,0.05
149,0.0,0.0,1.9995718,2,2,0.1,0.05
150,0.03125,0.0,0.99957174,2,2,0.1,0.05
151,0.1875,0.0,0.97185946,2,2,0.1,0.05
152,0.1875,1.0,0.9701947,2,2,0.1,0.05
153,1.0,1.0,0.0002542131,2,2,0.1,0.05
154,0.0,0.0,1.9993886,3,2,0.1,0.05
155,0.03125,0.0,0.9993886,3,2,0.1,0.05
156,0.25,0.0,0.9625424,3,2,0.1,0.05
157,0.25,1.0,0.95697016,3,2,0.1,0.05
158,1.0,1.0,0.00025255416,3,2,0.1,0.05
159,0.0,0.0,1.9996593,4,2,0.1,0.05
160,0.03125,0.0,0.9996593,4,2,0.1,0.05
161,0.21875,0.0,0.9837911,4,2,0.1,0.05
162,0.21875,1.0,0.98230666,4,2,0.1,0.05
163,1.0,1.0,0.00041424012,4,2,0.1,0.05
164,0.0,0.0,1.9995165,5,2,0.1,0.05
165,0.03125,0.0,0.9995165,5,2,0.1,0.05
166,0.25,0.0,0.9735433,5,2,0.1,0.05
167,0.25,1.0,0.95819694,5,2,0.1,0.05
168,1.0,1.0,0.0004469885,5,2,0.1,0.05
169,0.0,0.0,1.9994094,1,2,0.1,0.1
170,0.03333333333333333,0.0,0.99940944,1,2,0.1,0.1
171,0.13333333333333333,0.0,0.96886563,1,2,0.1,0.1
172,0.13333333333333333,0.3333333333333333,0.9053011,1,2,0.1,0.1
173,0.6,0.3333333333333333,0.4286901,1,2,0.1,0.1
174,0.6,0.6666666666666666,0.41963273,1,2,0.1,0.1
175,0.9,0.6666666666666666,0.067496166,1,2,0.1,0.1
176,0.9,1.0,0.04042224,1,2,0.1,0.1
177,1.0,1.0,0.0021465833,1,2,0.1,0.1
178,0.0,0.0,1.9989364,2,2,0.1,0.1
179,0.03333333333333333,0.0,0.9989365,2,2,0.1,0.1
180,0.13333333333333333,0.0,0.97320956,2,2,0.1,0.1
181,0.13333333333333333,0.3333333333333333,0.88884103,2,2,0.1,0.1
182,0.6666666666666666,0.3333333333333333,0.45223868,2,2,0.1,0.1
183,0.6666666666666666,0.6666666666666666,0.39731845,2,2,0.1,0.1
184,0.8666666666666667,0.6666666666666666,0.10397542,2,2,0.1,0.1
185,0.8666666666666667,1.0,0.053698067,2,2,0.1,0.1
186,1.0,1.0,0.0037067633,2,2,0.1,0.1
187,0.0,0.0,1.9995759,3,2,0.1,0.1
188,0.03333333333333333,0.0,0.9995758,3,2,0.1,0.1
189,0.13333333333333333,0.0,0.9765256,3,2,0.1,0.1
