,eval,k,train_split,quantile,auc
0,1,1,0.1,0.05,0.90625
1,2,1,0.1,0.05,0.875
2,3,1,0.1,0.05,0.90625
3,4,1,0.1,0.05,0.90625
4,5,1,0.1,0.05,0.9375
5,1,1,0.1,0.1,0.8999999999999999
6,2,1,0.1,0.1,0.8999999999999999
7,3,1,0.1,0.1,0.9111111111111112
8,4,1,0.1,0.1,0.8999999999999999
9,5,1,0.1,0.1,0.9111111111111112
10,1,1,0.1,0.25,0.32
11,2,1,0.1,0.25,0.31999999999999995
12,3,1,0.1,0.25,0.345
13,4,1,0.1,0.25,0.325
14,5,1,0.1,0.25,0.31999999999999995
15,1,2,0.1,0.05,0.96875
16,2,2,0.1,0.05,0.96875
17,3,2,0.1,0.05,0.96875
18,4,2,0.1,0.05,0.96875
19,5,2,0.1,0.05,0.9375
20,1,2,0.1,0.1,0.8
21,2,2,0.1,0.1,0.8
22,3,2,0.1,0.1,0.7777777777777777
23,4,2,0.1,0.1,0.7444444444444445
24,5,2,0.1,0.1,0.8111111111111111
25,1,2,0.1,0.25,0.4600000000000001
26,2,2,0.1,0.25,0.44000000000000006
27,3,2,0.1,0.25,0.42500000000000004
28,4,2,0.1,0.25,0.42500000000000004
29,5,2,0.1,0.25,0.42000000000000004
30,1,3,0.1,0.05,0.8125
31,2,3,0.1,0.05,0.78125
32,3,3,0.1,0.05,0.8125
33,4,3,0.1,0.05,0.71875
34,5,3,0.1,0.05,0.75
35,1,3,0.1,0.1,0.7
36,2,3,0.1,0.1,0.6777777777777778
37,3,3,0.1,0.1,0.6666666666666666
38,4,3,0.1,0.1,0.6777777777777778
39,5,3,0.1,0.1,0.7666666666666666
40,1,3,0.1,0.25,0.5700000000000001
41,2,3,0.1,0.25,0.57
42,3,3,0.1,0.25,0.5800000000000001
43,4,3,0.1,0.25,0.5700000000000001
44,5,3,0.1,0.25,0.555
45,1,4,0.1,0.05,1.0
46,2,4,0.1,0.05,0.96875
47,3,4,0.1,0.05,0.96875
48,4,4,0.1,0.05,0.96875
49,5,4,0.1,0.05,0.96875
50,1,4,0.1,0.1,0.788888888888889
51,2,4,0.1,0.1,0.8
52,3,4,0.1,0.1,0.7555555555555555
53,4,4,0.1,0.1,0.7777777777777778
54,5,4,0.1,0.1,0.7777777777777778
55,1,4,0.1,0.25,0.8200000000000001
56,2,4,0.1,0.25,0.8300000000000001
57,3,4,0.1,0.25,0.8
58,4,4,0.1,0.25,0.8
59,5,4,0.1,0.25,0.7849999999999999
