,eval,k,train_split,quantile,regular_precision,regular_recall,regular_f1-score,regular_support,critical_precision,critical_recall,critical_f1-score,critical_support,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support,accuracy
0,1,1,0.1,0.05,1.0,0.21875,0.358974358974359,32,0.038461538461538464,1.0,0.07407407407407407,1,0.5192307692307693,0.609375,0.21652421652421652,33,0.9708624708624709,0.24242424242424243,0.35034101700768366,33,0.24242424242424243
1,2,1,0.1,0.05,1.0,0.28125,0.43902439024390244,32,0.041666666666666664,1.0,0.07999999999999999,1,0.5208333333333334,0.640625,0.25951219512195123,33,0.9709595959595959,0.30303030303030304,0.4281448632668145,33,0.30303030303030304
2,3,1,0.1,0.05,1.0,0.21875,0.358974358974359,32,0.038461538461538464,1.0,0.07407407407407407,1,0.5192307692307693,0.609375,0.21652421652421652,33,0.9708624708624709,0.24242424242424243,0.35034101700768366,33,0.24242424242424243
3,4,1,0.1,0.05,1.0,0.25,0.4,32,0.04,1.0,0.07692307692307693,1,0.52,0.625,0.23846153846153847,33,0.9709090909090908,0.2727272727272727,0.39020979020979024,33,0.2727272727272727
4,5,1,0.1,0.05,1.0,0.21875,0.358974358974359,32,0.038461538461538464,1.0,0.07407407407407407,1,0.5192307692307693,0.609375,0.21652421652421652,33,0.9708624708624709,0.24242424242424243,0.35034101700768366,33,0.24242424242424243
5,1,1,0.1,0.1,0.96,0.8,0.8727272727272728,30,0.25,0.6666666666666666,0.36363636363636365,3,0.605,0.7333333333333334,0.6181818181818182,33,0.8954545454545454,0.7878787878787878,0.8264462809917356,33,0.7878787878787878
6,2,1,0.1,0.1,1.0,0.7666666666666667,0.8679245283018869,30,0.3,1.0,0.4615384615384615,3,0.65,0.8833333333333333,0.6647314949201742,33,0.9363636363636363,0.7878787878787878,0.8309803404143028,33,0.7878787878787878
7,3,1,0.1,0.1,1.0,0.7666666666666667,0.8679245283018869,30,0.3,1.0,0.4615384615384615,3,0.65,0.8833333333333333,0.6647314949201742,33,0.9363636363636363,0.7878787878787878,0.8309803404143028,33,0.7878787878787878
8,4,1,0.1,0.1,1.0,0.7666666666666667,0.8679245283018869,30,0.3,1.0,0.4615384615384615,3,0.65,0.8833333333333333,0.6647314949201742,33,0.9363636363636363,0.7878787878787878,0.8309803404143028,33,0.7878787878787878
9,5,1,0.1,0.1,0.96,0.8,0.8727272727272728,30,0.25,0.6666666666666666,0.36363636363636365,3,0.605,0.7333333333333334,0.6181818181818182,33,0.8954545454545454,0.7878787878787878,0.8264462809917356,33,0.7878787878787878
10,1,1,0.1,0.25,0.7777777777777778,0.84,0.8076923076923077,25,0.3333333333333333,0.25,0.28571428571428575,8,0.5555555555555556,0.5449999999999999,0.5467032967032968,33,0.6700336700336701,0.696969696969697,0.6811521811521811,33,0.696969696969697
11,2,1,0.1,0.25,0.75,0.72,0.7346938775510204,25,0.2222222222222222,0.25,0.23529411764705882,8,0.4861111111111111,0.485,0.4849939975990396,33,0.6220538720538721,0.6060606060606061,0.613627269089454,33,0.6060606060606061
12,3,1,0.1,0.25,0.75,0.72,0.7346938775510204,25,0.2222222222222222,0.25,0.23529411764705882,8,0.4861111111111111,0.485,0.4849939975990396,33,0.6220538720538721,0.6060606060606061,0.613627269089454,33,0.6060606060606061
13,4,1,0.1,0.25,0.75,0.72,0.7346938775510204,25,0.2222222222222222,0.25,0.23529411764705882,8,0.4861111111111111,0.485,0.4849939975990396,33,0.6220538720538721,0.6060606060606061,0.613627269089454,33,0.6060606060606061
14,5,1,0.1,0.25,0.76,0.76,0.76,25,0.25,0.25,0.25,8,0.505,0.505,0.505,33,0.6363636363636364,0.6363636363636364,0.6363636363636364,33,0.6363636363636364
