,fpr,tpr,threshold,eval,k,train_split,quantile
0,0.0,0.0,1.9991157,1,1,0.1,0.05
1,0.03125,0.0,0.99911565,1,1,0.1,0.05
2,0.09375,0.0,0.98985904,1,1,0.1,0.05
3,0.09375,1.0,0.9880663,1,1,0.1,0.05
4,1.0,1.0,0.001516392,1,1,0.1,0.05
5,0.0,0.0,1.9986308,2,1,0.1,0.05
6,0.03125,0.0,0.9986307,2,1,0.1,0.05
7,0.125,0.0,0.98167497,2,1,0.1,0.05
8,0.125,1.0,0.98039067,2,1,0.1,0.05
9,1.0,1.0,0.0027935607,2,1,0.1,0.05
10,0.0,0.0,1.998897,3,1,0.1,0.05
11,0.03125,0.0,0.99889696,3,1,0.1,0.05
12,0.09375,0.0,0.9873438,3,1,0.1,0.05
13,0.09375,1.0,0.9848556,3,1,0.1,0.05
14,1.0,1.0,0.0014833946,3,1,0.1,0.05
15,0.0,0.0,1.9990599,4,1,0.1,0.05
16,0.03125,0.0,0.99906,4,1,0.1,0.05
17,0.09375,0.0,0.98681056,4,1,0.1,0.05
18,0.09375,1.0,0.9853839,4,1,0.1,0.05
19,1.0,1.0,0.0019283593,4,1,0.1,0.05
20,0.0,0.0,1.9980797,5,1,0.1,0.05
21,0.03125,0.0,0.99807966,5,1,0.1,0.05
22,0.0625,0.0,0.99748826,5,1,0.1,0.05
23,0.0625,1.0,0.98941106,5,1,0.1,0.05
24,1.0,1.0,0.002618244,5,1,0.1,0.05
25,0.0,0.0,1.9932377,1,1,0.1,0.1
26,0.0,0.3333333333333333,0.99323773,1,1,0.1,0.1
27,0.06666666666666667,0.3333333333333333,0.9435517,1,1,0.1,0.1
28,0.06666666666666667,0.6666666666666666,0.8923847,1,1,0.1,0.1
29,0.23333333333333334,0.6666666666666666,0.4176118,1,1,0.1,0.1
30,0.23333333333333334,1.0,0.40565935,1,1,0.1,0.1
31,1.0,1.0,0.0015112421,1,1,0.1,0.1
32,0.0,0.0,1.9956653,2,1,0.1,0.1
33,0.0,0.3333333333333333,0.9956654,2,1,0.1,0.1
34,0.06666666666666667,0.3333333333333333,0.9786856,2,1,0.1,0.1
35,0.06666666666666667,0.6666666666666666,0.92650706,2,1,0.1,0.1
36,0.23333333333333334,0.6666666666666666,0.59980994,2,1,0.1,0.1
37,0.23333333333333334,1.0,0.5706179,2,1,0.1,0.1
38,1.0,1.0,0.0020380013,2,1,0.1,0.1
39,0.0,0.0,1.996786,3,1,0.1,0.1
40,0.0,0.3333333333333333,0.996786,3,1,0.1,0.1
41,0.06666666666666667,0.3333333333333333,0.97099024,3,1,0.1,0.1
42,0.06666666666666667,0.6666666666666666,0.93084115,3,1,0.1,0.1
43,0.2,0.6666666666666666,0.6873731,3,1,0.1,0.1
44,0.2,1.0,0.5146308,3,1,0.1,0.1
45,1.0,1.0,0.0011514126,3,1,0.1,0.1
46,0.0,0.0,1.9877179,4,1,0.1,0.1
47,0.0,0.3333333333333333,0.98771787,4,1,0.1,0.1
48,0.06666666666666667,0.3333333333333333,0.9591524,4,1,0.1,0.1
49,0.06666666666666667,0.6666666666666666,0.87672096,4,1,0.1,0.1
50,0.23333333333333334,0.6666666666666666,0.59371203,4,1,0.1,0.1
51,0.23333333333333334,1.0,0.52902144,4,1,0.1,0.1
52,1.0,1.0,0.0025331767,4,1,0.1,0.1
53,0.0,0.0,1.9924932,5,1,0.1,0.1
54,0.0,0.3333333333333333,0.9924932,5,1,0.1,0.1
55,0.06666666666666667,0.3333333333333333,0.96038043,5,1,0.1,0.1
56,0.06666666666666667,0.6666666666666666,0.8836865,5,1,0.1,0.1
57,0.2,0.6666666666666666,0.64030915,5,1,0.1,0.1
58,0.2,1.0,0.45090717,5,1,0.1,0.1
