,embedding_d,channels,train_split,mse,mae,r2
0,2,4,0.2,0.16642794,0.33696914,-0.4962367134863397
1,2,4,0.2,0.16899012,0.32370394,-0.6355459147861053
2,2,4,0.2,0.12403322,0.309425,-0.23294431810140526
3,2,4,0.2,0.083638236,0.22743985,0.249639523377173
4,2,4,0.2,0.1671618,0.357396,-0.5173242173127859
5,2,4,0.2,0.16315915,0.34075585,-0.44335409844297424
6,2,4,0.2,0.18674855,0.3296608,-0.5815491891151439
7,2,4,0.2,0.13268271,0.25876766,-0.13452487023177206
8,2,4,0.2,0.0999291,0.27500895,0.04540939243448294
9,2,4,0.2,0.13452597,0.27823174,-0.1328867583922675
10,2,4,0.2,0.19540206,0.34666952,-0.6418324550440893
11,2,4,0.2,0.11498686,0.2933358,-0.11327399973348973
12,2,4,0.2,0.1210747,0.27321315,-0.07187982109470292
13,2,4,0.2,0.14158316,0.31320545,-0.14172681451643987
14,2,4,0.2,0.15152156,0.30609,-0.31609030031257945
15,2,4,0.2,0.15472512,0.32087532,-0.3576666464818743
16,2,4,0.2,0.118553236,0.2808107,-0.02518291872498346
17,2,4,0.2,0.100283585,0.280815,0.04415467139621421
18,2,4,0.2,0.14988394,0.3180052,-0.30993581100425116
19,2,4,0.2,0.13013932,0.28482974,-0.07508899578246098
20,2,4,0.2,0.11999513,0.27575687,-0.03597954734879427
21,2,4,0.2,0.14210412,0.3109722,-0.3115263050346162
22,2,4,0.2,0.17049842,0.29684412,-0.6225428052681083
23,2,4,0.2,0.119483195,0.29969957,0.0021748869303593876
24,2,4,0.2,0.11756072,0.2951002,-0.021533290537279814
25,2,4,0.2,0.11399701,0.29971227,-0.06403050883319694
26,2,4,0.2,0.123705916,0.2796773,-0.11015159529887208
27,2,4,0.2,0.10402987,0.255201,0.08219226861614792
28,2,4,0.2,0.1018181,0.2767594,-0.003713761035244456
29,2,4,0.2,0.16346462,0.31744385,-0.41522410065717663
30,2,4,0.2,0.10975061,0.28743675,0.07032303978793075
31,2,4,0.2,0.12760913,0.2647035,-0.1859583692222586
32,2,4,0.2,0.11199979,0.29338297,-0.02627073884665876
33,2,4,0.2,0.10860172,0.27461907,0.07241682452663456
34,2,4,0.2,0.15934262,0.31175867,-0.37076496866356323
35,2,4,0.2,0.17371807,0.29905215,-0.5192732268756659
36,2,4,0.2,0.1759388,0.3161848,-0.5564181705217313
37,2,4,0.2,0.2267122,0.38071573,-0.8655123172508454
38,2,4,0.2,0.14115232,0.30033046,-0.21940294198384636
39,2,4,0.2,0.14681202,0.33206955,-0.27942416777663914
40,2,4,0.2,0.16055094,0.31748012,-0.44111234047774195
41,2,4,0.2,0.16881317,0.31798863,-0.4458692516636047
42,2,4,0.2,0.11871417,0.29288572,-0.02087048979397199
43,2,4,0.2,0.15345526,0.32082197,-0.3811607917913873
44,2,4,0.2,0.12989649,0.30548608,-0.23438621204154342
45,2,4,0.2,0.13643335,0.281481,-0.32578134910814893
46,2,4,0.2,0.15393549,0.33380583,-0.32984157312651186
47,2,4,0.2,0.09723789,0.26261273,0.18722137775965897
48,2,4,0.2,0.12744902,0.31302327,-0.07632411394717353
49,2,4,0.2,0.13406861,0.29282516,-0.0973922757418002
50,2,4,0.3,0.1104303,0.29489702,-0.12759532341205682
51,2,4,0.3,0.13025247,0.28696567,-0.16511227532338246
52,2,4,0.3,0.1579218,0.31875414,-0.5094060296111693
53,2,4,0.3,0.12564853,0.28757742,-0.010632942339845686
54,2,4,0.3,0.12268277,0.3043323,-0.22696279695614674
55,2,4,0.3,0.111661546,0.25345242,-0.18855598681248575
56,2,4,0.3,0.118806235,0.31288892,-0.029547866977005288
57,2,4,0.3,0.13328046,0.31797972,-0.12833713234472133
58,2,4,0.3,0.11590509,0.28067243,0.04072189969041684
59,2,4,0.3,0.124044105,0.2745323,-0.10753455644817689
60,2,4,0.3,0.11447319,0.2828593,-0.02280827626053683
61,2,4,0.3,0.14807342,0.32785985,-0.2800167377465166
62,2,4,0.3,0.18074171,0.33529752,-0.6508069728709016
63,2,4,0.3,0.099274136,0.27094692,-0.02935526907629593
64,2,4,0.3,0.1171466,0.30193597,-0.3689247544906622
65,2,4,0.3,0.10985152,0.28007618,-0.07265384500744942
66,2,4,0.3,0.10933766,0.26879132,-0.07113751916427113
67,2,4,0.3,0.13068467,0.31445566,-0.061585407738121045
68,2,4,0.3,0.10745853,0.2884353,0.057785329091009086
69,2,4,0.3,0.1370024,0.29556435,-0.111744224152865
70,2,4,0.3,0.121659964,0.2794388,-0.2012903452790773
71,2,4,0.3,0.10995883,0.29873377,-0.06229623737543055
72,2,4,0.3,0.11029942,0.2618572,-0.08076256504827595
73,2,4,0.3,0.11445422,0.29883263,-0.09806017439815085
74,2,4,0.3,0.16153492,0.31479302,-0.23617443062743515
75,2,4,0.3,0.1691877,0.33761796,-0.5649336486849359
76,2,4,0.3,0.13773848,0.3198866,-0.26300677720336596
77,2,4,0.3,0.10763772,0.27928007,-0.07842859712763173
78,2,4,0.3,0.1233808,0.2856629,-0.17471174386739685
79,2,4,0.3,0.16312976,0.3140507,-0.34713933685684495
80,2,4,0.3,0.09263826,0.25384995,0.0845662669575673
81,2,4,0.3,0.11135932,0.27117285,0.004164730929850147
82,2,4,0.3,0.114660434,0.26781234,-0.09971046173624831
83,2,4,0.3,0.079959005,0.23162629,0.20438397288928078
84,2,4,0.3,0.12008798,0.27904668,-0.06282509888676024
85,2,4,0.3,0.1100202,0.29191393,0.13461317606761058
86,2,4,0.3,0.15057276,0.27032146,-0.41724377075503916
87,2,4,0.3,0.16663806,0.31310222,-0.28574967028720755
88,2,4,0.3,0.12860923,0.30027458,-0.008231692986654604
89,2,4,0.3,0.13381405,0.30123714,-0.320081014498365
90,2,4,0.3,0.13441066,0.31622717,-0.2889198429287496
91,2,4,0.3,0.09136871,0.2538431,0.19160136228061697
92,2,4,0.3,0.0930018,0.26266053,0.06352704415954236
93,2,4,0.3,0.13302737,0.29000893,-0.11937093096119389
94,2,4,0.3,0.17221221,0.3100995,-0.7352517421000049
95,2,4,0.3,0.110393405,0.2715572,0.030175227475020883
96,2,4,0.3,0.12753712,0.28288326,-0.2571234619653451
97,2,4,0.3,0.09271934,0.2512234,0.1456041086343517
98,2,4,0.3,0.12656465,0.294788,-0.04832179130552827
99,2,4,0.3,0.140296,0.32063353,-0.19822074528090194
100,2,4,0.4,0.101334766,0.24433866,0.18168279460887748
101,2,4,0.4,0.12087622,0.2992451,-0.2898862286066701
102,2,4,0.4,0.081384815,0.24323414,0.1120125570763415
103,2,4,0.4,0.11993734,0.3008372,-0.3588574548583554
104,2,4,0.4,0.10906427,0.27594298,0.024322509667649372
105,2,4,0.4,0.11336759,0.2871949,-0.13956899141141466
106,2,4,0.4,0.10821932,0.2942237,-0.1711541984918592
107,2,4,0.4,0.093138434,0.26915783,0.03869951836234753
108,2,4,0.4,0.09362097,0.25465626,0.1171506781005861
109,2,4,0.4,0.1138716,0.25687534,0.06920720708252937
110,2,4,0.4,0.1276183,0.30700025,-0.31490497321733235
111,2,4,0.4,0.12270607,0.2818941,-0.14856354737697064
112,2,4,0.4,0.095120855,0.2481092,0.15924268235800398
113,2,4,0.4,0.12582512,0.28991708,-0.03304006289078831
114,2,4,0.4,0.13473156,0.33062097,-0.5581483328341488
115,2,4,0.4,0.11595886,0.2569653,-0.04042868204604555
116,2,4,0.4,0.116162404,0.30012625,-0.0273531487721681
117,2,4,0.4,0.08669126,0.24569269,0.1235385679279285
118,2,4,0.4,0.105639234,0.2619427,0.02525144088746767
119,2,4,0.4,0.111509465,0.2842754,-0.060614277697944585
120,2,4,0.4,0.13178036,0.3008629,-0.04259815921626853
121,2,4,0.4,0.10868493,0.27335617,0.12410492424758446
122,2,4,0.4,0.12585726,0.2800568,-0.05392502781130104
123,2,4,0.4,0.093336366,0.2626026,0.02983026265015043
124,2,4,0.4,0.14095502,0.31686863,-0.18004061989339792
125,2,4,0.4,0.120913394,0.28332472,-0.02843776714803603
126,2,4,0.4,0.13444099,0.31382826,-0.08306538211631254
127,2,4,0.4,0.12630264,0.27541205,-0.08161197717452029
128,2,4,0.4,0.10515404,0.27982715,0.07998971526323173
129,2,4,0.4,0.12150969,0.3098496,-0.2533848976550117
130,2,4,0.4,0.12578732,0.29583362,-0.01299155951764086
131,2,4,0.4,0.100340925,0.27232477,-0.1088096713581228
132,2,4,0.4,0.10483459,0.28757375,0.04751722707247019
133,2,4,0.4,0.115004875,0.2822584,-0.03985877593397924
134,2,4,0.4,0.10807874,0.2850907,-0.06709975520742173
135,2,4,0.4,0.10667089,0.27085122,0.03588783758482128
136,2,4,0.4,0.14156371,0.30021098,-0.13036335472490235
137,2,4,0.4,0.12877396,0.29608634,-0.2293998142749749
138,2,4,0.4,0.10697214,0.264438,0.016530329170273195
139,2,4,0.4,0.10215888,0.278859,-0.017074372435069485
140,2,4,0.4,0.13608356,0.3081766,-0.4311534384699238
141,2,4,0.4,0.16732672,0.32281905,-0.2564056323119339
142,2,4,0.4,0.16966316,0.3432329,-0.14574626491769593
143,2,4,0.4,0.10848185,0.2699625,0.05295379999228356
144,2,4,0.4,0.11183989,0.2920425,-0.05685213584495208
145,2,4,0.4,0.11431461,0.28346965,-0.12224179940749291
146,2,4,0.4,0.09863884,0.26088354,0.0354454503175774
147,2,4,0.4,0.114925854,0.2936352,-0.07172913109652446
148,2,4,0.4,0.119004324,0.29750517,0.02814046906841028
149,2,4,0.4,0.11377744,0.30524728,-0.18225097733734485
150,2,4,0.5,0.09488863,0.2646541,-0.04157352656759539
151,2,4,0.5,0.1088596,0.28247803,0.028073509908796312
152,2,4,0.5,0.11398748,0.27990308,-0.20181506363669377
153,2,4,0.5,0.116594605,0.29874033,-0.20996935656383742
154,2,4,0.5,0.14873163,0.3110188,-0.14444501654701125
155,2,4,0.5,0.1398,0.3031986,-0.07638664402945317
156,2,4,0.5,0.093944654,0.2573078,0.08734260869532329
157,2,4,0.5,0.12492264,0.27018484,0.08463498279964066
158,2,4,0.5,0.11611276,0.2416431,-0.19185764307812536
159,2,4,0.5,0.11512257,0.29361296,-0.04524667305428043
160,2,4,0.5,0.116821066,0.28955793,0.014260698314705111
161,2,4,0.5,0.10207751,0.28173298,-0.1425331033124333
162,2,4,0.5,0.12263235,0.28978083,-0.030067755814307873
163,2,4,0.5,0.10304604,0.2619068,0.024904197508300085
164,2,4,0.5,0.07959681,0.22527118,0.22568709370350892
165,2,4,0.5,0.11256509,0.30011815,-0.1335368168388007
166,2,4,0.5,0.096084416,0.27180412,0.03285155180381005
167,2,4,0.5,0.10317238,0.27041367,0.0029236801320100536
168,2,4,0.5,0.08992623,0.2590978,-0.08777455489162356
169,2,4,0.5,0.10687675,0.27678728,0.007072487356596935
170,2,4,0.5,0.21169613,0.37557486,-0.9132359045276697
171,2,4,0.5,0.06552688,0.21919587,-0.1264758201634386
172,2,4,0.5,0.116581194,0.2986188,-0.16331469645342223
173,2,4,0.5,0.13985364,0.30279502,-0.05556774910504303
174,2,4,0.5,0.12575915,0.29481986,-0.4121482568347503
175,2,4,0.5,0.07951937,0.25593328,0.28217202108902184
176,2,4,0.5,0.12167,0.28582877,-0.012130218064518639
177,2,4,0.5,0.100354545,0.2644162,0.011375049288882666
178,2,4,0.5,0.12257346,0.3089298,-0.13291253092022104
179,2,4,0.5,0.13435923,0.30103645,-0.053522671788114096
180,2,4,0.5,0.09894513,0.23021781,0.11327248145652802
181,2,4,0.5,0.097465865,0.26588085,-0.011400376716185434
182,2,4,0.5,0.10983759,0.25898585,0.0875368620050766
183,2,4,0.5,0.06562739,0.22416751,0.21853782230295093
184,2,4,0.5,0.10559437,0.29167667,-0.33835992512655033
185,2,4,0.5,0.12788393,0.29097128,0.04694444006261267
186,2,4,0.5,0.10512161,0.29011515,-0.24709506998222053
187,2,4,0.5,0.11535622,0.2930067,-0.005454204423259723
188,2,4,0.5,0.12987667,0.29606405,-0.061197692735898146
189,2,4,0.5,0.16362134,0.301802,-0.35030869740487214
190,2,4,0.5,0.105780564,0.25214604,-0.05777163193257251
191,2,4,0.5,0.11466827,0.2831495,-0.039490169889349946
192,2,4,0.5,0.09582017,0.26565367,-0.11613423308363435
193,2,4,0.5,0.10787874,0.30097762,-0.2925595656463933
194,2,4,0.5,0.09731816,0.26668736,0.11740812735975081
195,2,4,0.5,0.1213394,0.28309366,-0.0011875215140475515
196,2,4,0.5,0.12878555,0.2874724,0.03217589580330471
197,2,4,0.5,0.10322264,0.2693965,0.03198777160463118
198,2,4,0.5,0.12349777,0.30636907,-0.03644397041263647
199,2,4,0.5,0.13163245,0.31494254,-0.03706115010802291
200,2,8,0.2,0.15841675,0.31058088,-0.3844026705455772
201,2,8,0.2,0.14054519,0.28809062,-0.11946122070227205
